DateTime,tmp
2014-06-01T00:03:00Z,4.307
2014-06-01T02:03:00Z,2.873
2014-06-01T04:03:00Z,3.109
2014-06-01T06:03:00Z,5.089
2014-06-01T08:03:00Z,7.209
2014-06-01T10:03:00Z,8.7
2014-06-01T12:03:00Z,11.54
2014-06-01T14:03:00Z,12.81
2014-06-01T16:03:00Z,12.53
2014-06-01T18:03:00Z,10.68
2014-06-01T20:03:00Z,6.595
2014-06-01T22:03:00Z,5.579
2014-06-02T00:03:00Z,6.198
2014-06-02T02:03:00Z,5.359
2014-06-02T04:03:00Z,4.808
2014-06-02T06:03:00Z,6.156
2014-06-02T08:03:00Z,9.46
2014-06-02T10:03:00Z,11.09
2014-06-02T12:03:00Z,13.95
2014-06-02T14:03:00Z,13.99
2014-06-02T16:03:00Z,13.29
2014-06-02T18:03:00Z,11.04
2014-06-02T20:03:00Z,8.73
2014-06-02T22:03:00Z,7.082
2014-06-03T00:03:00Z,5.926
2014-06-03T02:03:00Z,3.887
2014-06-03T04:03:00Z,3.79
2014-06-03T06:03:00Z,5.354
2014-06-03T08:03:00Z,7.515
2014-06-03T10:03:00Z,10.01
2014-06-03T12:03:00Z,13.02
2014-06-03T14:03:00Z,13.41
2014-06-03T16:03:00Z,13.93
2014-06-03T18:03:00Z,10.97
2014-06-03T20:03:00Z,8.67
2014-06-03T22:03:00Z,7.318
2014-06-04T00:03:00Z,6.341
2014-06-04T02:03:00Z,5.783
2014-06-04T04:03:00Z,5.563
2014-06-04T06:03:00Z,7.144
2014-06-04T08:03:00Z,9.48
2014-06-04T10:03:00Z,11.3
2014-06-04T12:03:00Z,13.4
2014-06-04T14:03:00Z,13.8
2014-06-04T16:03:00Z,13.44
2014-06-04T18:03:00Z,9.27
2014-06-04T20:03:00Z,6.755
2014-06-04T22:03:00Z,5.901
2014-06-05T00:03:00Z,5.435
2014-06-05T02:03:00Z,4.794
2014-06-05T04:03:00Z,4.412
2014-06-05T06:03:00Z,6.154
2014-06-05T08:03:00Z,9.8
2014-06-05T10:03:00Z,11.39
2014-06-05T12:03:00Z,13.77
2014-06-05T14:03:00Z,13.84
2014-06-05T16:03:00Z,13.87
2014-06-05T18:03:00Z,11.76
2014-06-05T20:03:00Z,9.36
2014-06-05T22:03:00Z,8.54
2014-06-06T00:03:00Z,7.47
2014-06-06T02:03:00Z,6.661
2014-06-06T04:03:00Z,7.347
2014-06-06T06:03:00Z,8.38
2014-06-06T08:03:00Z,11.69
2014-06-06T10:03:00Z,12.91
2014-06-06T12:03:00Z,15.76
2014-06-06T14:03:00Z,12.08
2014-06-06T16:03:00Z,12.3
2014-06-06T18:03:00Z,11
2014-06-06T20:03:00Z,8.15
2014-06-06T22:03:00Z,7.561
2014-06-07T00:03:00Z,8.96
2014-06-07T02:03:00Z,6.762
2014-06-07T04:03:00Z,6.683
2014-06-07T06:03:00Z,9.11
2014-06-07T08:03:00Z,11
2014-06-07T10:03:00Z,12.74
2014-06-07T12:03:00Z,15.24
2014-06-07T14:03:00Z,12.79
2014-06-07T16:03:00Z,11.97
2014-06-07T18:03:00Z,12.22
2014-06-07T20:03:00Z,9.33
2014-06-07T22:03:00Z,7.889
2014-06-08T00:03:00Z,8.14
2014-06-08T02:03:00Z,6.592
2014-06-08T04:03:00Z,5.836
2014-06-08T06:03:00Z,6.665
2014-06-08T08:03:00Z,7.667
2014-06-08T10:03:00Z,9.72
2014-06-08T12:03:00Z,12.75
2014-06-08T14:03:00Z,12.26
2014-06-08T16:03:00Z,13.04
2014-06-08T18:03:00Z,9.44
2014-06-08T20:03:00Z,6.209
2014-06-08T22:03:00Z,7.508
2014-06-09T00:03:00Z,6.588
2014-06-09T02:03:00Z,6.287
2014-06-09T04:03:00Z,4.873
2014-06-09T06:03:00Z,7.974
2014-06-09T08:03:00Z,10.24
2014-06-09T10:03:00Z,13.11
2014-06-09T12:03:00Z,15.4
2014-06-09T14:03:00Z,14.49
2014-06-09T16:03:00Z,14.7
2014-06-09T18:03:00Z,13.46
2014-06-09T20:03:00Z,12.17
2014-06-09T22:03:00Z,11.31
2014-06-10T00:03:00Z,10.94
2014-06-10T02:03:00Z,9.43
2014-06-10T04:03:00Z,8.74
2014-06-10T06:03:00Z,9.41
2014-06-10T08:03:00Z,12.08
2014-06-10T10:03:00Z,14.51
2014-06-10T12:03:00Z,16.25
2014-06-10T14:03:00Z,17.11
2014-06-10T16:03:00Z,15.28
2014-06-10T18:03:00Z,12.2
2014-06-10T20:03:00Z,10.3
2014-06-10T22:03:00Z,9.85
2014-06-11T00:03:00Z,9.52
2014-06-11T02:03:00Z,7.913
2014-06-11T04:03:00Z,6.79
2014-06-11T06:03:00Z,8.95
2014-06-11T08:03:00Z,9.78
2014-06-11T10:03:00Z,12.34
2014-06-11T12:03:00Z,12.65
2014-06-11T14:03:00Z,15.09
2014-06-11T16:03:00Z,11.95
2014-06-11T18:03:00Z,11.64
2014-06-11T20:03:00Z,10.01
2014-06-11T22:03:00Z,9.51
2014-06-12T00:03:00Z,8.24
2014-06-12T02:03:00Z,8.03
2014-06-12T04:03:00Z,7.431
2014-06-12T06:03:00Z,7.838
2014-06-12T08:03:00Z,10.63
2014-06-12T10:03:00Z,14.27
2014-06-12T12:03:00Z,15.52
2014-06-12T14:03:00Z,16.13
2014-06-12T16:03:00Z,14.97
2014-06-12T18:03:00Z,13.44
2014-06-12T20:03:00Z,10.91
2014-06-12T22:03:00Z,9.31
2014-06-13T00:03:00Z,8.37
2014-06-13T02:03:00Z,6.925
2014-06-13T04:03:00Z,6.336
2014-06-13T06:03:00Z,5.811
2014-06-13T08:03:00Z,8.21
2014-06-13T10:03:00Z,11.47
2014-06-13T12:03:00Z,13.76
